,departamento,fecha,ocio_y_recreacion,supermercados_y_farmcias,parques,transporte,lugares_de_trabajo,zonas_residenciales
59883,Las Heras Department,2020-09-03,-18.0,-5.0,-35.0,-37.0,-20.0,16.0
59884,Las Heras Department,2020-09-04,-12.0,-4.0,-39.0,-37.0,-19.0,18.0
59885,Las Heras Department,2020-09-05,-9.0,1.0,-44.0,-41.0,-11.0,17.0
59886,Las Heras Department,2020-09-06,-23.0,-4.0,-51.0,-45.0,-16.0,18.0
60086,Luján de Cuyo Department,2020-02-15,14.0,-2.0,2.0,5.0,1.0,-1.0
60087,Luján de Cuyo Department,2020-02-16,6.0,0.0,-11.0,-4.0,-2.0,1.0
60088,Luján de Cuyo Department,2020-02-17,4.0,0.0,-10.0,-1.0,19.0,-2.0
60089,Luján de Cuyo Department,2020-02-18,4.0,-3.0,-12.0,-1.0,19.0,-2.0
60090,Luján de Cuyo Department,2020-02-19,1.0,-1.0,-9.0,-2.0,18.0,-2.0
60091,Luján de Cuyo Department,2020-02-20,-1.0,-1.0,-10.0,-1.0,19.0,-2.0
60092,Luján de Cuyo Department,2020-02-21,4.0,-1.0,-11.0,0.0,17.0,-2.0
60093,Luján de Cuyo Department,2020-02-22,16.0,5.0,7.0,7.0,4.0,-2.0
60094,Luján de Cuyo Department,2020-02-23,25.0,5.0,25.0,11.0,-4.0,-1.0
60095,Luján de Cuyo Department,2020-02-24,14.0,-8.0,49.0,-2.0,-61.0,7.0
60096,Luján de Cuyo Department,2020-02-25,-11.0,-10.0,0.0,-12.0,-57.0,10.0
60097,Luján de Cuyo Department,2020-02-26,0.0,5.0,-14.0,-4.0,28.0,-4.0
60098,Luján de Cuyo Department,2020-02-27,-1.0,6.0,-19.0,-3.0,31.0,-2.0
60099,Luján de Cuyo Department,2020-02-28,2.0,-1.0,-20.0,0.0,30.0,-3.0
60100,Luján de Cuyo Department,2020-02-29,9.0,4.0,-13.0,1.0,7.0,1.0
60101,Luján de Cuyo Department,2020-03-01,-2.0,0.0,-15.0,-7.0,-4.0,3.0
60102,Luján de Cuyo Department,2020-03-02,4.0,1.0,-20.0,3.0,36.0,-4.0
60103,Luján de Cuyo Department,2020-03-03,-1.0,-2.0,-24.0,-1.0,36.0,-3.0
60104,Luján de Cuyo Department,2020-03-04,-1.0,-2.0,-24.0,-2.0,34.0,-4.0
60105,Luján de Cuyo Department,2020-03-05,1.0,2.0,-13.0,1.0,35.0,-4.0
60106,Luján de Cuyo Department,2020-03-06,9.0,5.0,-7.0,4.0,33.0,-5.0
60107,Luján de Cuyo Department,2020-03-07,10.0,8.0,-6.0,5.0,6.0,1.0
60108,Luján de Cuyo Department,2020-03-08,8.0,5.0,-10.0,-2.0,-1.0,2.0
60109,Luján de Cuyo Department,2020-03-09,8.0,3.0,-14.0,6.0,36.0,-5.0
60110,Luján de Cuyo Department,2020-03-10,4.0,3.0,-17.0,2.0,39.0,-4.0
60111,Luján de Cuyo Department,2020-03-11,3.0,5.0,-24.0,0.0,35.0,-4.0
60112,Luján de Cuyo Department,2020-03-12,2.0,8.0,-27.0,3.0,35.0,-4.0
60113,Luján de Cuyo Department,2020-03-13,3.0,7.0,-26.0,4.0,33.0,-3.0
60114,Luján de Cuyo Department,2020-03-14,-3.0,10.0,-25.0,-3.0,9.0,3.0
60115,Luján de Cuyo Department,2020-03-15,-15.0,8.0,-34.0,-9.0,-2.0,5.0
60116,Luján de Cuyo Department,2020-03-16,-16.0,11.0,-37.0,-13.0,6.0,7.0
60117,Luján de Cuyo Department,2020-03-17,-28.0,-7.0,-51.0,-22.0,-7.0,11.0
60118,Luján de Cuyo Department,2020-03-18,-32.0,-8.0,-57.0,-29.0,-15.0,14.0
60119,Luján de Cuyo Department,2020-03-19,-29.0,12.0,-58.0,-28.0,-20.0,14.0
60120,Luján de Cuyo Department,2020-03-20,-69.0,-36.0,-81.0,-60.0,-57.0,32.0
60121,Luján de Cuyo Department,2020-03-21,-76.0,-43.0,-85.0,-68.0,-51.0,28.0
60122,Luján de Cuyo Department,2020-03-22,-84.0,-61.0,-92.0,-78.0,-55.0,28.0
60123,Luján de Cuyo Department,2020-03-23,-80.0,-58.0,-88.0,-72.0,-80.0,33.0
60124,Luján de Cuyo Department,2020-03-24,-82.0,-60.0,-89.0,-75.0,-81.0,35.0
60125,Luján de Cuyo Department,2020-03-25,-76.0,-46.0,-84.0,-71.0,-67.0,33.0
60126,Luján de Cuyo Department,2020-03-26,-72.0,-44.0,-83.0,-68.0,-67.0,33.0
60127,Luján de Cuyo Department,2020-03-27,-71.0,-44.0,-79.0,-65.0,-63.0,35.0
60128,Luján de Cuyo Department,2020-03-28,-73.0,-45.0,-83.0,-69.0,-53.0,29.0
60129,Luján de Cuyo Department,2020-03-29,-81.0,-58.0,-89.0,-76.0,-52.0,27.0
60130,Luján de Cuyo Department,2020-03-30,-71.0,-45.0,-78.0,-65.0,-66.0,29.0
60131,Luján de Cuyo Department,2020-03-31,-79.0,-55.0,-82.0,-71.0,-78.0,33.0
60132,Luján de Cuyo Department,2020-04-01,-70.0,-40.0,-79.0,-66.0,-62.0,30.0
60133,Luján de Cuyo Department,2020-04-02,-70.0,-39.0,-77.0,-65.0,-62.0,31.0
60134,Luján de Cuyo Department,2020-04-03,-68.0,-39.0,-74.0,-61.0,-60.0,34.0
60135,Luján de Cuyo Department,2020-04-04,-71.0,-40.0,-82.0,-65.0,-50.0,28.0
60136,Luján de Cuyo Department,2020-04-05,-80.0,-53.0,-88.0,-75.0,-49.0,27.0
60137,Luján de Cuyo Department,2020-04-06,-63.0,-37.0,-71.0,-56.0,-57.0,27.0
60138,Luján de Cuyo Department,2020-04-07,-74.0,-26.0,-71.0,-56.0,-57.0,28.0
60139,Luján de Cuyo Department,2020-04-08,-72.0,-21.0,-71.0,-55.0,-56.0,28.0
60140,Luján de Cuyo Department,2020-04-09,-73.0,-17.0,-78.0,-56.0,-64.0,31.0
60141,Luján de Cuyo Department,2020-04-10,-87.0,-64.0,-89.0,-76.0,-81.0,41.0
60142,Luján de Cuyo Department,2020-04-11,-77.0,-27.0,-81.0,-62.0,-46.0,28.0
60143,Luján de Cuyo Department,2020-04-12,-85.0,-52.0,-90.0,-72.0,-49.0,26.0
60144,Luján de Cuyo Department,2020-04-13,-72.0,-32.0,-72.0,-54.0,-51.0,26.0
60145,Luján de Cuyo Department,2020-04-14,-73.0,-27.0,-73.0,-53.0,-51.0,27.0
60146,Luján de Cuyo Department,2020-04-15,-73.0,-29.0,-75.0,-55.0,-51.0,28.0
60147,Luján de Cuyo Department,2020-04-16,-73.0,-27.0,-97.0,-51.0,-51.0,28.0
60148,Luján de Cuyo Department,2020-04-17,-73.0,-29.0,-96.0,-52.0,-50.0,31.0
60149,Luján de Cuyo Department,2020-04-18,-79.0,-31.0,-97.0,-56.0,-42.0,27.0
60150,Luján de Cuyo Department,2020-04-19,-85.0,-51.0,-100.0,-70.0,-48.0,26.0
60151,Luján de Cuyo Department,2020-04-20,-72.0,-33.0,-96.0,-50.0,-48.0,25.0
60152,Luján de Cuyo Department,2020-04-21,-73.0,-30.0,-97.0,-50.0,-48.0,27.0
60153,Luján de Cuyo Department,2020-04-22,-73.0,-27.0,-96.0,-52.0,-47.0,28.0
60154,Luján de Cuyo Department,2020-04-23,-74.0,-30.0,-96.0,-51.0,-46.0,28.0
60155,Luján de Cuyo Department,2020-04-24,-73.0,-27.0,-97.0,-49.0,-46.0,31.0
60156,Luján de Cuyo Department,2020-04-25,-78.0,-28.0,-97.0,-55.0,-39.0,26.0
60157,Luján de Cuyo Department,2020-04-26,-83.0,-51.0,-98.0,-68.0,-45.0,26.0
60158,Luján de Cuyo Department,2020-04-27,-73.0,-34.0,-95.0,-49.0,-42.0,24.0
60159,Luján de Cuyo Department,2020-04-28,-72.0,-31.0,-95.0,-48.0,-42.0,25.0
60160,Luján de Cuyo Department,2020-04-29,-71.0,-29.0,-95.0,-48.0,-42.0,26.0
60161,Luján de Cuyo Department,2020-04-30,-62.0,-10.0,-95.0,-41.0,-41.0,24.0
60162,Luján de Cuyo Department,2020-05-01,-88.0,-77.0,-97.0,-68.0,-79.0,38.0
60163,Luján de Cuyo Department,2020-05-02,-73.0,-28.0,-96.0,-53.0,-33.0,25.0
60164,Luján de Cuyo Department,2020-05-03,-79.0,-44.0,-97.0,-64.0,-38.0,24.0
60165,Luján de Cuyo Department,2020-05-04,-63.0,-32.0,-94.0,-43.0,-39.0,22.0
60166,Luján de Cuyo Department,2020-05-05,-64.0,-25.0,-95.0,-44.0,-38.0,24.0
60167,Luján de Cuyo Department,2020-05-06,-63.0,-25.0,-96.0,-43.0,-39.0,24.0
60168,Luján de Cuyo Department,2020-05-07,-62.0,-19.0,-95.0,-39.0,-37.0,25.0
60169,Luján de Cuyo Department,2020-05-08,-61.0,-22.0,-96.0,-39.0,-35.0,27.0
60170,Luján de Cuyo Department,2020-05-09,-67.0,-21.0,-96.0,-43.0,-27.0,23.0
60171,Luján de Cuyo Department,2020-05-10,-76.0,-37.0,-97.0,-56.0,-33.0,22.0
60172,Luján de Cuyo Department,2020-05-11,-59.0,-31.0,-95.0,-36.0,-32.0,21.0
60173,Luján de Cuyo Department,2020-05-12,-58.0,-19.0,-95.0,-34.0,-32.0,22.0
60174,Luján de Cuyo Department,2020-05-13,-58.0,-21.0,-94.0,-37.0,-30.0,23.0
60175,Luján de Cuyo Department,2020-05-14,-57.0,-18.0,-95.0,-36.0,-29.0,22.0
60176,Luján de Cuyo Department,2020-05-15,-57.0,-18.0,-94.0,-36.0,-27.0,24.0
60177,Luján de Cuyo Department,2020-05-16,-62.0,-19.0,-95.0,-37.0,-18.0,21.0
60178,Luján de Cuyo Department,2020-05-17,-74.0,-34.0,-95.0,-51.0,-26.0,20.0
60179,Luján de Cuyo Department,2020-05-18,-55.0,-31.0,-94.0,-32.0,-25.0,19.0
60180,Luján de Cuyo Department,2020-05-19,-54.0,-20.0,-95.0,-30.0,-24.0,20.0
60181,Luján de Cuyo Department,2020-05-20,-54.0,-20.0,-95.0,-34.0,-25.0,21.0
60182,Luján de Cuyo Department,2020-05-21,-60.0,-23.0,-96.0,-47.0,-30.0,24.0
60183,Luján de Cuyo Department,2020-05-22,-56.0,-20.0,-95.0,-38.0,-24.0,24.0
60184,Luján de Cuyo Department,2020-05-23,-56.0,-7.0,-95.0,-29.0,-10.0,18.0
60185,Luján de Cuyo Department,2020-05-24,-65.0,-22.0,-94.0,-36.0,-12.0,14.0
60186,Luján de Cuyo Department,2020-05-25,-69.0,-44.0,-94.0,-34.0,-68.0,21.0
60187,Luján de Cuyo Department,2020-05-26,-54.0,-28.0,-94.0,-34.0,-21.0,20.0
60188,Luján de Cuyo Department,2020-05-27,-51.0,-21.0,-95.0,-31.0,-21.0,20.0
60189,Luján de Cuyo Department,2020-05-28,-50.0,-18.0,-94.0,-31.0,-21.0,20.0
60190,Luján de Cuyo Department,2020-05-29,-51.0,-16.0,-95.0,-30.0,-20.0,21.0
60191,Luján de Cuyo Department,2020-05-30,-52.0,-10.0,-94.0,-27.0,-7.0,16.0
60192,Luján de Cuyo Department,2020-05-31,-63.0,-28.0,-95.0,-39.0,-9.0,15.0
60193,Luján de Cuyo Department,2020-06-01,-50.0,-27.0,-95.0,-32.0,-18.0,18.0
60194,Luján de Cuyo Department,2020-06-02,-50.0,-19.0,-95.0,-30.0,-18.0,19.0
60195,Luján de Cuyo Department,2020-06-03,-60.0,-35.0,-97.0,-50.0,-26.0,23.0
60196,Luján de Cuyo Department,2020-06-04,-51.0,-16.0,-95.0,-30.0,-20.0,20.0
60197,Luján de Cuyo Department,2020-06-05,-47.0,-12.0,-94.0,-29.0,-16.0,20.0
60198,Luján de Cuyo Department,2020-06-06,-46.0,-5.0,-94.0,-20.0,-5.0,14.0
60199,Luján de Cuyo Department,2020-06-07,-57.0,-22.0,-94.0,-33.0,-4.0,13.0
60200,Luján de Cuyo Department,2020-06-08,-45.0,-23.0,-95.0,-27.0,-16.0,17.0
60201,Luján de Cuyo Department,2020-06-09,-43.0,-10.0,-94.0,-27.0,-14.0,16.0
60202,Luján de Cuyo Department,2020-06-10,-42.0,-7.0,-93.0,-24.0,-14.0,16.0
60203,Luján de Cuyo Department,2020-06-11,-43.0,-8.0,-94.0,-27.0,-15.0,16.0
60204,Luján de Cuyo Department,2020-06-12,-40.0,-6.0,-93.0,-21.0,-13.0,17.0
60205,Luján de Cuyo Department,2020-06-13,-38.0,7.0,-90.0,-16.0,0.0,12.0
60206,Luján de Cuyo Department,2020-06-14,-48.0,-12.0,-86.0,-29.0,1.0,11.0
60207,Luján de Cuyo Department,2020-06-15,-51.0,-29.0,-80.0,-31.0,-62.0,21.0
60208,Luján de Cuyo Department,2020-06-16,-39.0,-9.0,-94.0,-24.0,-13.0,15.0
60209,Luján de Cuyo Department,2020-06-17,-42.0,-8.0,-93.0,-27.0,-14.0,16.0
60210,Luján de Cuyo Department,2020-06-18,-47.0,-18.0,-94.0,-33.0,-16.0,18.0
60211,Luján de Cuyo Department,2020-06-19,-43.0,-11.0,-93.0,-29.0,-14.0,19.0
60212,Luján de Cuyo Department,2020-06-20,-44.0,-4.0,-92.0,-28.0,-12.0,17.0
60213,Luján de Cuyo Department,2020-06-21,-58.0,-31.0,-94.0,-30.0,22.0,11.0
60214,Luján de Cuyo Department,2020-06-22,-45.0,-30.0,-94.0,-31.0,-18.0,17.0
60215,Luján de Cuyo Department,2020-06-23,-45.0,-22.0,-94.0,-31.0,-17.0,18.0
60216,Luján de Cuyo Department,2020-06-24,-51.0,-26.0,-96.0,-39.0,-18.0,20.0
60217,Luján de Cuyo Department,2020-06-25,-45.0,-17.0,-95.0,-30.0,-15.0,18.0
60218,Luján de Cuyo Department,2020-06-26,-43.0,-20.0,-95.0,-30.0,-14.0,20.0
60219,Luján de Cuyo Department,2020-06-27,-44.0,-13.0,-90.0,-24.0,-3.0,16.0
60220,Luján de Cuyo Department,2020-06-28,-57.0,-32.0,-91.0,-44.0,-5.0,16.0
60221,Luján de Cuyo Department,2020-06-29,-44.0,-30.0,-94.0,-32.0,-15.0,16.0
60222,Luján de Cuyo Department,2020-06-30,-41.0,-17.0,-94.0,-29.0,-14.0,17.0
60223,Luján de Cuyo Department,2020-07-01,-41.0,-16.0,-94.0,-31.0,-14.0,17.0
60224,Luján de Cuyo Department,2020-07-02,-39.0,-16.0,-93.0,-26.0,-15.0,17.0
60225,Luján de Cuyo Department,2020-07-03,-37.0,-13.0,-93.0,-26.0,-13.0,18.0
60226,Luján de Cuyo Department,2020-07-04,-47.0,-16.0,-92.0,-36.0,-7.0,17.0
60227,Luján de Cuyo Department,2020-07-05,-43.0,-19.0,-75.0,-35.0,-3.0,14.0
60228,Luján de Cuyo Department,2020-07-06,-43.0,-23.0,-92.0,-36.0,-18.0,17.0
60229,Luján de Cuyo Department,2020-07-07,-38.0,-11.0,-93.0,-29.0,-15.0,16.0
60230,Luján de Cuyo Department,2020-07-08,-34.0,-7.0,-92.0,-29.0,-13.0,15.0
60231,Luján de Cuyo Department,2020-07-09,-52.0,-28.0,-88.0,-34.0,-62.0,25.0
60232,Luján de Cuyo Department,2020-07-10,-45.0,-20.0,-88.0,-34.0,-52.0,26.0
60233,Luján de Cuyo Department,2020-07-11,-36.0,-8.0,-88.0,-27.0,-6.0,16.0
60234,Luján de Cuyo Department,2020-07-12,-49.0,-27.0,-86.0,-31.0,-1.0,13.0
60235,Luján de Cuyo Department,2020-07-13,-41.0,-23.0,-92.0,-28.0,-17.0,16.0
60236,Luján de Cuyo Department,2020-07-14,-36.0,-13.0,-92.0,-27.0,-16.0,16.0
60237,Luján de Cuyo Department,2020-07-15,-33.0,-12.0,-91.0,-25.0,-15.0,16.0
60238,Luján de Cuyo Department,2020-07-16,-34.0,-10.0,-91.0,-24.0,-14.0,16.0
60239,Luján de Cuyo Department,2020-07-17,-35.0,-10.0,-92.0,-23.0,-14.0,18.0
60240,Luján de Cuyo Department,2020-07-18,-33.0,-8.0,-90.0,-26.0,-3.0,15.0
60241,Luján de Cuyo Department,2020-07-19,-42.0,-22.0,-89.0,-33.0,2.0,13.0
60242,Luján de Cuyo Department,2020-07-20,-27.0,-19.0,-93.0,-21.0,-12.0,14.0
60243,Luján de Cuyo Department,2020-07-21,-43.0,-21.0,-94.0,-33.0,-18.0,17.0
60244,Luján de Cuyo Department,2020-07-22,-48.0,-24.0,-95.0,-40.0,-21.0,20.0
60245,Luján de Cuyo Department,2020-07-23,-42.0,-16.0,-92.0,-33.0,-18.0,18.0
60246,Luján de Cuyo Department,2020-07-24,-40.0,-14.0,-92.0,-29.0,-16.0,20.0
60247,Luján de Cuyo Department,2020-07-25,-39.0,-10.0,-89.0,-29.0,-16.0,18.0
60248,Luján de Cuyo Department,2020-07-26,-46.0,-21.0,-86.0,-37.0,-3.0,15.0
60249,Luján de Cuyo Department,2020-07-27,-40.0,-23.0,-93.0,-29.0,-18.0,16.0
60250,Luján de Cuyo Department,2020-07-28,-39.0,-13.0,-93.0,-24.0,-18.0,17.0
60251,Luján de Cuyo Department,2020-07-29,-38.0,-15.0,-93.0,-28.0,-17.0,17.0
60252,Luján de Cuyo Department,2020-07-30,-37.0,-14.0,-91.0,-30.0,-18.0,18.0
60253,Luján de Cuyo Department,2020-07-31,-35.0,-9.0,-91.0,-27.0,-16.0,19.0
60254,Luján de Cuyo Department,2020-08-01,-31.0,-1.0,-87.0,-26.0,-4.0,15.0
60255,Luján de Cuyo Department,2020-08-02,-40.0,-17.0,-85.0,-33.0,-3.0,14.0
60256,Luján de Cuyo Department,2020-08-03,-35.0,-17.0,-91.0,-27.0,-18.0,16.0
60257,Luján de Cuyo Department,2020-08-04,-37.0,-11.0,-91.0,-29.0,-18.0,17.0
60258,Luján de Cuyo Department,2020-08-05,-37.0,-9.0,-91.0,-32.0,-17.0,17.0
60259,Luján de Cuyo Department,2020-08-06,-38.0,-8.0,-92.0,-31.0,-19.0,18.0
60260,Luján de Cuyo Department,2020-08-07,-36.0,-11.0,-91.0,-30.0,-17.0,19.0
60261,Luján de Cuyo Department,2020-08-08,-30.0,-5.0,-88.0,-27.0,-6.0,16.0
60262,Luján de Cuyo Department,2020-08-09,-37.0,-18.0,-83.0,-39.0,-12.0,16.0
60263,Luján de Cuyo Department,2020-08-10,-32.0,-15.0,-91.0,-26.0,-17.0,16.0
60264,Luján de Cuyo Department,2020-08-11,-35.0,-8.0,-91.0,-28.0,-18.0,16.0
60265,Luján de Cuyo Department,2020-08-12,-34.0,-9.0,-91.0,-31.0,-18.0,17.0
60266,Luján de Cuyo Department,2020-08-13,-32.0,-4.0,-91.0,-28.0,-17.0,17.0
60267,Luján de Cuyo Department,2020-08-14,-30.0,-6.0,-91.0,-26.0,-15.0,18.0
60268,Luján de Cuyo Department,2020-08-15,-23.0,10.0,-86.0,-25.0,-4.0,15.0
60269,Luján de Cuyo Department,2020-08-16,-34.0,-10.0,-86.0,-33.0,1.0,14.0
60270,Luján de Cuyo Department,2020-08-17,-40.0,-33.0,-80.0,-33.0,-66.0,23.0
60271,Luján de Cuyo Department,2020-08-18,-33.0,-9.0,-91.0,-31.0,-16.0,17.0
60272,Luján de Cuyo Department,2020-08-19,-39.0,-14.0,-93.0,-38.0,-21.0,19.0
60273,Luján de Cuyo Department,2020-08-20,-33.0,-9.0,-90.0,-32.0,-19.0,18.0
60274,Luján de Cuyo Department,2020-08-21,-31.0,-9.0,-90.0,-28.0,-16.0,19.0
60275,Luján de Cuyo Department,2020-08-22,-25.0,2.0,-85.0,-30.0,-4.0,15.0
60276,Luján de Cuyo Department,2020-08-23,-34.0,-15.0,-83.0,-39.0,-11.0,15.0
60277,Luján de Cuyo Department,2020-08-24,-28.0,-12.0,-88.0,-25.0,-17.0,16.0
60278,Luján de Cuyo Department,2020-08-25,-29.0,-5.0,-90.0,-28.0,-19.0,16.0
60279,Luján de Cuyo Department,2020-08-26,-33.0,-11.0,-89.0,-33.0,-18.0,18.0
60280,Luján de Cuyo Department,2020-08-27,-29.0,-4.0,-82.0,-30.0,-18.0,17.0
60281,Luján de Cuyo Department,2020-08-28,-28.0,-8.0,-83.0,-28.0,-18.0,19.0
60282,Luján de Cuyo Department,2020-08-29,-23.0,-2.0,-77.0,-35.0,-6.0,16.0
60283,Luján de Cuyo Department,2020-08-30,-36.0,-15.0,-80.0,-42.0,-12.0,16.0
60284,Luján de Cuyo Department,2020-08-31,-27.0,-13.0,-81.0,-31.0,-20.0,16.0
60285,Luján de Cuyo Department,2020-09-01,-29.0,-7.0,-84.0,-31.0,-22.0,18.0
60286,Luján de Cuyo Department,2020-09-02,-30.0,-3.0,-71.0,-33.0,-22.0,18.0
60287,Luján de Cuyo Department,2020-09-03,-30.0,0.0,-70.0,-34.0,-23.0,18.0
60288,Luján de Cuyo Department,2020-09-04,-32.0,-1.0,-68.0,-35.0,-21.0,20.0
60289,Luján de Cuyo Department,2020-09-05,-30.0,4.0,-64.0,-37.0,-10.0,17.0
60290,Luján de Cuyo Department,2020-09-06,-38.0,-9.0,-77.0,-47.0,-18.0,17.0
60291,Maipú Department,2020-02-15,9.0,-10.0,18.0,-2.0,0.0,0.0
60292,Maipú Department,2020-02-16,5.0,-7.0,-4.0,5.0,-2.0,1.0
60293,Maipú Department,2020-02-17,6.0,2.0,5.0,4.0,17.0,-2.0
60294,Maipú Department,2020-02-18,5.0,-3.0,8.0,5.0,16.0,-1.0
60295,Maipú Department,2020-02-19,2.0,-5.0,0.0,2.0,15.0,-2.0
60296,Maipú Department,2020-02-20,3.0,3.0,-1.0,3.0,16.0,-2.0
60297,Maipú Department,2020-02-21,1.0,1.0,-5.0,2.0,14.0,-2.0
60298,Maipú Department,2020-02-22,12.0,6.0,9.0,1.0,1.0,0.0
60299,Maipú Department,2020-02-23,10.0,4.0,17.0,13.0,-1.0,0.0
60300,Maipú Department,2020-02-24,-25.0,-13.0,-2.0,-15.0,-57.0,6.0
60301,Maipú Department,2020-02-25,-26.0,-12.0,-5.0,-14.0,-52.0,8.0
60302,Maipú Department,2020-02-26,4.0,7.0,1.0,4.0,26.0,-3.0
60303,Maipú Department,2020-02-27,1.0,6.0,-2.0,2.0,27.0,-2.0
60304,Maipú Department,2020-02-28,2.0,2.0,-8.0,1.0,26.0,-2.0
60305,Maipú Department,2020-02-29,13.0,8.0,4.0,-2.0,5.0,2.0
60306,Maipú Department,2020-03-01,1.0,10.0,-5.0,6.0,-1.0,3.0
60307,Maipú Department,2020-03-02,13.0,12.0,20.0,8.0,34.0,-4.0
60308,Maipú Department,2020-03-03,5.0,6.0,2.0,3.0,33.0,-3.0
60309,Maipú Department,2020-03-04,3.0,6.0,-1.0,3.0,33.0,-3.0
60310,Maipú Department,2020-03-05,3.0,11.0,2.0,2.0,32.0,-3.0
60311,Maipú Department,2020-03-06,8.0,7.0,10.0,4.0,31.0,-4.0
60312,Maipú Department,2020-03-07,14.0,9.0,14.0,0.0,6.0,1.0
60313,Maipú Department,2020-03-08,15.0,16.0,11.0,7.0,3.0,2.0
60314,Maipú Department,2020-03-09,15.0,14.0,33.0,12.0,34.0,-4.0
60315,Maipú Department,2020-03-10,7.0,10.0,-1.0,10.0,35.0,-4.0
60316,Maipú Department,2020-03-11,4.0,10.0,-4.0,7.0,34.0,-3.0
60317,Maipú Department,2020-03-12,1.0,17.0,-2.0,5.0,34.0,-3.0
60318,Maipú Department,2020-03-13,2.0,12.0,-1.0,6.0,31.0,-3.0
60319,Maipú Department,2020-03-14,1.0,15.0,-13.0,3.0,6.0,3.0
60320,Maipú Department,2020-03-15,-7.0,22.0,-15.0,2.0,-2.0,6.0
60321,Maipú Department,2020-03-16,-11.0,19.0,-18.0,-13.0,7.0,6.0
60322,Maipú Department,2020-03-17,-24.0,0.0,-41.0,-23.0,-4.0,10.0
60323,Maipú Department,2020-03-18,-29.0,-3.0,-44.0,-27.0,-12.0,12.0
60324,Maipú Department,2020-03-19,-26.0,14.0,-41.0,-26.0,-17.0,12.0
60325,Maipú Department,2020-03-20,-65.0,-30.0,-71.0,-57.0,-50.0,28.0
60326,Maipú Department,2020-03-21,-72.0,-40.0,-77.0,-66.0,-47.0,28.0
60327,Maipú Department,2020-03-22,-79.0,-55.0,-85.0,-76.0,-49.0,29.0
60328,Maipú Department,2020-03-23,-79.0,-60.0,-82.0,-73.0,-75.0,31.0
60329,Maipú Department,2020-03-24,-80.0,-60.0,-84.0,-73.0,-76.0,33.0
60330,Maipú Department,2020-03-25,-73.0,-47.0,-78.0,-68.0,-60.0,30.0
60331,Maipú Department,2020-03-26,-69.0,-43.0,-75.0,-65.0,-59.0,29.0
60332,Maipú Department,2020-03-27,-67.0,-43.0,-71.0,-63.0,-58.0,31.0
60333,Maipú Department,2020-03-28,-69.0,-45.0,-75.0,-66.0,-48.0,29.0
60334,Maipú Department,2020-03-29,-74.0,-48.0,-83.0,-71.0,-44.0,28.0
60335,Maipú Department,2020-03-30,-65.0,-41.0,-72.0,-62.0,-58.0,26.0
60336,Maipú Department,2020-03-31,-76.0,-54.0,-79.0,-69.0,-72.0,31.0
60337,Maipú Department,2020-04-01,-65.0,-38.0,-74.0,-61.0,-55.0,27.0
60338,Maipú Department,2020-04-02,-66.0,-37.0,-72.0,-61.0,-54.0,28.0
60339,Maipú Department,2020-04-03,-63.0,-36.0,-69.0,-57.0,-53.0,30.0
60340,Maipú Department,2020-04-04,-64.0,-34.0,-70.0,-61.0,-44.0,27.0
60341,Maipú Department,2020-04-05,-72.0,-42.0,-80.0,-69.0,-44.0,27.0
60342,Maipú Department,2020-04-06,-55.0,-32.0,-61.0,-54.0,-49.0,24.0
60343,Maipú Department,2020-04-07,-69.0,-25.0,-63.0,-49.0,-49.0,24.0
60344,Maipú Department,2020-04-08,-67.0,-18.0,-60.0,-47.0,-49.0,24.0
60345,Maipú Department,2020-04-09,-71.0,-16.0,-64.0,-49.0,-55.0,27.0
60346,Maipú Department,2020-04-10,-89.0,-64.0,-82.0,-73.0,-79.0,39.0
60347,Maipú Department,2020-04-11,-76.0,-25.0,-69.0,-57.0,-44.0,27.0
60348,Maipú Department,2020-04-12,-80.0,-36.0,-81.0,-64.0,-41.0,27.0
60349,Maipú Department,2020-04-13,-68.0,-31.0,-58.0,-48.0,-44.0,22.0
60350,Maipú Department,2020-04-14,-68.0,-26.0,-61.0,-48.0,-44.0,23.0
60351,Maipú Department,2020-04-15,-70.0,-27.0,-66.0,-47.0,-44.0,24.0
60352,Maipú Department,2020-04-16,-74.0,-21.0,-95.0,-43.0,-43.0,24.0
60353,Maipú Department,2020-04-17,-75.0,-24.0,-96.0,-44.0,-44.0,28.0
60354,Maipú Department,2020-04-18,-78.0,-24.0,-96.0,-50.0,-36.0,25.0
60355,Maipú Department,2020-04-19,-82.0,-37.0,-96.0,-62.0,-41.0,27.0
60356,Maipú Department,2020-04-20,-72.0,-26.0,-95.0,-42.0,-40.0,22.0
60357,Maipú Department,2020-04-21,-74.0,-26.0,-96.0,-43.0,-41.0,23.0
60358,Maipú Department,2020-04-22,-73.0,-23.0,-95.0,-43.0,-40.0,24.0
60359,Maipú Department,2020-04-23,-74.0,-21.0,-95.0,-42.0,-40.0,24.0
60360,Maipú Department,2020-04-24,-74.0,-23.0,-96.0,-43.0,-40.0,27.0
60361,Maipú Department,2020-04-25,-78.0,-21.0,-96.0,-46.0,-33.0,25.0
60362,Maipú Department,2020-04-26,-81.0,-36.0,-97.0,-56.0,-34.0,26.0
60363,Maipú Department,2020-04-27,-71.0,-26.0,-96.0,-38.0,-36.0,21.0
60364,Maipú Department,2020-04-28,-73.0,-25.0,-95.0,-38.0,-37.0,22.0
60365,Maipú Department,2020-04-29,-71.0,-22.0,-95.0,-38.0,-36.0,22.0
